'y-axis saved as y
'x,ear_i_0fillin_inbi_032821.xy,Bkg,Ycalc,Diff,Structure
4.335,304,275.084721,275.084721,28.9152794,0
4.35,285,274.946388,274.946388,10.0536123,0
4.365,289,274.808039,274.808039,14.1919612,0
4.38,280,274.669674,274.669674,5.33032605,0
4.395,297,274.531293,274.531293,22.4687066,0
4.41,302,274.392897,274.392897,27.6071029,0
4.425,273,274.254485,274.254485,-1.25448534,0
4.44,294,274.116058,274.116058,19.8839419,0
4.455,269,273.977616,273.977616,-4.97761562,0
4.47,275,273.839158,273.839158,1.16084209,0
4.485,305,273.700685,273.700685,31.2993149,0
4.5,292,273.562197,273.562197,18.4378026,0
4.515,287,273.423695,273.423695,13.5763052,0
4.53,293,273.285177,273.285177,19.7148225,0
4.545,268,273.146646,273.146646,-5.14664553,0
4.56,291,273.008099,273.008099,17.9919009,0
4.575,294,272.869538,272.869538,21.1304617,0
4.59,312,272.730963,272.730963,39.2690368,0
4.605,306,272.592374,272.592374,33.4076261,0
4.62,292,272.453771,272.453771,19.5462294,0
4.635,318,272.315153,272.315153,45.6848466,0
4.65,256,272.176522,272.176522,-16.1765223,0
4.665,277,272.037878,272.037878,4.96212242,0
4.68,294,271.899219,271.899219,22.1007807,0
4.695,300,271.760547,271.760547,28.2394525,0
4.71,288,271.621862,271.621862,16.3781377,0
4.725,277,271.483164,271.483164,5.5168361,0
4.74,276,271.344452,271.344452,4.65554763,0
4.755,298,271.205728,271.205728,26.7942722,0
4.77,277,271.06699,271.06699,5.93300962,0
4.785,309,270.92824,270.92824,38.0717599,0
4.8,312,270.789477,270.789477,41.2105228,0
4.815,324,270.650702,270.650702,53.3492982,0
4.83,284,270.511914,270.511914,13.4880862,0
4.845,281,270.373114,270.373114,10.6268864,0
4.86,301,270.234301,270.234301,30.7656989,0
4.875,298,270.095476,270.095476,27.9045235,0
4.89,281,269.95664,269.95664,11.0433601,0
4.905,292,269.817791,269.817791,22.1822086,0
4.92,318,269.678931,269.678931,48.3210689,0
4.935,289,269.540059,269.540059,19.4599408,0
4.95,289,269.401176,269.401176,19.5988242,0
4.965,286,269.262281,269.262281,16.7377191,0
4.98,253,269.123375,269.123375,-16.1233746,0
4.995,314,268.984457,268.984457,45.0155428,0
